,Right Mass,,Left Mass,
t,x,y,x,y
4.637,-1.37E-02,-3.64E-03,-3.57E-02,-2.10E-03
4.688,-2.82E-02,-3.15E-03,-4.80E-02,-1.89E-03
4.738,-4.23E-02,-2.94E-03,-5.97E-02,-1.45E-03
4.788,-5.55E-02,-2.42E-03,-7.02E-02,-9.25E-04
4.839,-6.75E-02,-1.91E-03,-7.84E-02,-1.68E-04
4.889,-7.78E-02,-1.11E-03,-8.51E-02,1.58E-04
4.94,-8.64E-02,-3.01E-04,-8.94E-02,3.45E-04
4.99,-9.34E-02,3.61E-04,-9.17E-02,5.45E-04
5.041,-9.77E-02,6.36E-04,-9.15E-02,7.49E-04
5.091,-0.1,1.04E-03,-8.92E-02,7.07E-04
5.141,-0.1,9.88E-04,-8.42E-02,3.19E-04
5.192,-9.77E-02,7.99E-04,-7.75E-02,-1.21E-05
5.242,-9.33E-02,3.19E-04,-6.85E-02,-6.38E-04
5.293,-8.58E-02,8.71E-05,-5.85E-02,-9.25E-04
5.343,-7.67E-02,-1.07E-03,-4.71E-02,-1.04E-03
5.393,-6.62E-02,-1.87E-03,-3.34E-02,-1.40E-03
5.444,-5.39E-02,-2.29E-03,-2.02E-02,-1.42E-03
5.494,-4.06E-02,-3.03E-03,-6.19E-03,-1.51E-03
5.545,-2.62E-02,-3.52E-03,8.33E-03,-1.24E-03
5.595,-1.02E-02,-3.59E-03,2.27E-02,-1.21E-03
5.645,4.64E-03,-3.83E-03,3.58E-02,-4.51E-04
5.696,1.99E-02,-3.20E-03,4.83E-02,4.45E-04
5.746,3.52E-02,-2.98E-03,5.93E-02,1.18E-03
5.797,4.97E-02,-2.12E-03,6.91E-02,2.11E-03
5.847,6.29E-02,-1.35E-03,7.71E-02,2.55E-03
5.897,7.32E-02,-7.45E-04,8.28E-02,3.02E-03
5.948,8.32E-02,8.99E-05,8.68E-02,3.59E-03
5.998,9.10E-02,7.13E-04,8.88E-02,3.90E-03
6.049,9.64E-02,1.13E-03,8.88E-02,3.68E-03
6.099,9.95E-02,1.04E-03,8.71E-02,3.52E-03
6.149,0.1,1.07E-03,8.26E-02,3.09E-03
6.2,9.89E-02,9.39E-04,7.60E-02,2.64E-03
6.25,9.51E-02,9.85E-04,6.85E-02,1.87E-03
6.301,8.84E-02,1.80E-05,5.82E-02,8.35E-04
6.351,8.02E-02,-5.44E-04,4.74E-02,4.90E-04
6.401,6.90E-02,-1.25E-03,3.47E-02,-3.79E-04
6.452,5.76E-02,-2.03E-03,2.09E-02,-1.11E-03
6.502,4.30E-02,-2.72E-03,7.57E-03,-1.99E-03
6.553,2.91E-02,-3.25E-03,-6.19E-03,-2.06E-03
6.603,1.35E-02,-3.28E-03,-2.05E-02,-2.13E-03
6.653,-2.50E-03,-3.78E-03,-3.26E-02,-1.86E-03
6.704,-1.82E-02,-3.91E-03,-4.54E-02,-1.81E-03
6.754,-3.37E-02,-3.12E-03,-5.59E-02,-1.56E-03
6.805,-4.79E-02,-2.32E-03,-6.59E-02,-9.20E-04
6.855,-6.16E-02,-2.03E-03,-7.39E-02,-7.43E-04
6.906,-7.30E-02,-9.79E-04,-8.02E-02,5.05E-05
6.956,-8.37E-02,-2.55E-05,-8.41E-02,1.19E-04
7.006,-9.20E-02,5.86E-04,-8.63E-02,1.43E-04
7.057,-9.83E-02,1.20E-03,-8.64E-02,2.11E-04
7.107,-0.102,1.71E-03,-8.46E-02,-2.10E-04
7.158,-0.104,1.73E-03,-7.99E-02,-4.34E-04
7.208,-0.103,1.89E-03,-7.35E-02,-6.56E-04
7.258,-9.99E-02,1.65E-03,-6.51E-02,-9.36E-04
7.309,-9.42E-02,9.36E-04,-5.63E-02,-1.36E-03
7.359,-8.65E-02,4.60E-04,-4.50E-02,-1.79E-03
7.41,-7.70E-02,-3.34E-04,-3.29E-02,-1.88E-03
7.46,-6.51E-02,-1.29E-03,-2.03E-02,-1.95E-03
7.51,-5.22E-02,-1.75E-03,-6.94E-03,-1.84E-03
7.561,-3.75E-02,-2.63E-03,6.48E-03,-1.80E-03
7.611,-2.29E-02,-2.91E-03,1.90E-02,-1.62E-03
7.662,-6.26E-03,-3.27E-03,3.23E-02,-6.72E-04
7.712,9.34E-03,-3.05E-03,4.37E-02,-1.76E-04
7.762,2.58E-02,-2.58E-03,5.40E-02,3.78E-04
7.813,4.05E-02,-2.40E-03,6.32E-02,9.98E-04
7.863,5.55E-02,-1.43E-03,7.10E-02,1.90E-03
7.914,6.83E-02,-3.92E-04,7.66E-02,2.32E-03
7.964,7.97E-02,1.24E-04,8.02E-02,2.76E-03
8.014,8.97E-02,7.48E-04,8.23E-02,2.88E-03
8.065,9.68E-02,1.26E-03,8.23E-02,2.75E-03
8.115,0.102,1.97E-03,8.08E-02,2.52E-03
8.166,0.104,1.72E-03,7.73E-02,2.04E-03
8.216,0.104,1.97E-03,7.11E-02,1.47E-03
8.266,0.102,2.09E-03,6.36E-02,6.78E-04
8.317,9.73E-02,1.21E-03,5.46E-02,-1.01E-04
8.367,8.98E-02,3.65E-04,4.48E-02,-4.39E-04
8.418,8.03E-02,5.67E-05,3.30E-02,-1.17E-03
8.468,6.92E-02,-6.14E-04,2.04E-02,-1.78E-03
8.518,5.58E-02,-1.79E-03,8.57E-03,-2.43E-03
8.569,4.04E-02,-2.34E-03,-4.65E-03,-2.42E-03
8.619,2.48E-02,-2.78E-03,-1.65E-02,-2.09E-03
8.67,8.55E-03,-3.51E-03,-2.90E-02,-2.12E-03
8.72,-8.46E-03,-3.57E-03,-4.02E-02,-1.82E-03
8.771,-2.37E-02,-3.26E-03,-5.03E-02,-1.65E-03
8.821,-3.96E-02,-2.49E-03,-5.95E-02,-1.45E-03
